,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,10.56828433554545,2026-04-13 11:29:49.365450,2026-04-13 11:30:05.158147,0 days 00:00:15.792697,43.761126739819055,38.75073664956864,15.279489561868335,-38.31602067935758,34.28047176802418,86.39969891885323,81.61394755036252,47.96121331788181,26.10675033494639,28.302450003967834,80.88455380229375,80.36212186948067,-33.23690019703512,60.921658163519425,26.98472739123203,49.989915912562196,31.924018352317493,18.77260398154963,Unattained target,RandomSampler,PRUNED
1,1,17.63320823431937,2026-04-13 11:30:05.409455,2026-04-13 11:30:16.990960,0 days 00:00:11.581505,17.914019093701306,90.42082840159918,78.04822999098876,-68.74890573390311,86.17675539099025,78.53991006678285,98.51068248955907,37.553455418904626,10.962475324358415,63.737976072376476,91.92610614139286,55.46522202532227,-55.29511681203064,92.61869077740687,31.748784814352454,98.2738173284041,46.412973237149856,22.499392788970543,Unattained target,RandomSampler,PRUNED
2,2,9.054710498747593,2026-04-13 11:30:17.268781,2026-04-13 11:30:33.933918,0 days 00:00:16.665137,88.63744991498355,29.776713133448784,12.700912413414734,-21.47142124670681,42.86069329637436,77.31933729091638,92.46321928842767,34.78323610826398,12.695333104472727,77.43092021688362,62.14272829167897,32.47812214972417,-71.45493492883308,55.44767655020258,61.17683543261425,85.83158666132509,34.65986941346603,13.8953164288574,Unattained target,RandomSampler,PRUNED
3,3,5.264860861727172,2026-04-13 11:30:34.076901,2026-04-13 11:31:04.755755,0 days 00:00:30.678854,78.50758112258941,55.34773018084199,67.19260629894936,-26.285290520822223,30.07842119685846,48.115116215694385,30.261649617546215,49.46057986811833,28.984050908817018,11.039757403010631,46.620142280458275,14.93355309424194,-79.66423592922445,13.021499906351162,59.30423387638813,42.09559805779492,39.37247768557535,28.831747671215027,Unattained target,RandomSampler,PRUNED
4,4,4.134190230263727,2026-04-13 11:31:04.887402,2026-04-13 11:31:33.475288,0 days 00:00:28.587886,92.35909818806854,54.08716964008792,24.761271614374103,-65.62865821252295,87.82004531589332,13.229824079688589,98.92161300201575,46.86520513856918,23.843510931591098,97.92695711720225,86.12757751553735,50.28793009623539,-23.091913907369246,47.80927135055198,49.721939697493035,95.46220480476856,33.89648048700914,20.237379912655435,,RandomSampler,COMPLETE
5,5,9.166220751744262,2026-04-13 11:31:33.625239,2026-04-13 11:31:45.819657,0 days 00:00:12.194418,35.6757354355628,21.65856083937838,90.47647973717984,-45.28261291064618,29.15789380569427,87.2323924441017,39.37654666089579,30.359821705636087,14.586055500531954,93.14463053805174,99.21608400166983,80.53680988096515,-35.93177660276824,77.88527393076913,80.38220185433093,70.22716815262098,31.048744393259263,21.467507576720937,Unattained target,GPSampler,PRUNED
6,6,10.901553577492919,2026-04-13 11:31:45.979301,2026-04-13 11:31:56.614812,0 days 00:00:10.635511,41.701522873727626,17.895297327962513,63.58238097929956,-68.06327701549037,94.94403656738706,65.30079336214303,10.806911624808576,31.98524837961718,19.459644611694728,60.505818877569546,98.76225253630471,16.413892275423905,-61.52598183419188,30.71347465918437,71.71210412225476,73.59695970784895,47.3333875583659,28.044307346697586,Unattained target,GPSampler,PRUNED
7,7,8.292299773086285,2026-04-13 11:31:57.151727,2026-04-13 11:32:10.969036,0 days 00:00:13.817309,64.10262371234407,73.27715613088705,53.82543848668498,-66.7321524318842,96.52864891959295,67.7273612431143,63.60559830127169,44.60107701425848,29.085287879684277,20.004540736053464,10.358564316715224,77.65308485712126,-22.50498754835653,99.21034543130497,89.79734115120309,10.600369430604522,44.487035127323594,12.630864937235653,Unattained target,GPSampler,PRUNED
8,8,6.954041062452021,2026-04-13 11:32:11.124587,2026-04-13 11:32:21.802106,0 days 00:00:10.677519,47.88795601739782,46.43494017866402,53.63126943597916,-68.59801764213222,74.6871491902643,43.98154497322062,83.8813994487911,40.15894350958961,19.469331078330615,67.00497702291929,95.47607447100593,57.2776721537588,-44.627277105164815,91.65535463008972,77.50445528689197,35.04287336453375,40.728593051952544,21.666426346296117,Unattained target,GPSampler,PRUNED
9,9,6.465677304343327,2026-04-13 11:32:21.937773,2026-04-13 11:32:29.523566,0 days 00:00:07.585793,25.321105304361943,19.78144701587897,56.462726923471635,-25.776723647574983,79.94996905248169,55.78223239757546,10.332400963229105,41.79495342285526,12.691751427347322,82.80697674564772,28.159154404824974,81.74261667339766,-71.83435848572694,20.22078797898169,72.957179187023,85.13647577322433,38.06110974534215,10.864953439991105,Unattained target,GPSampler,PRUNED
