,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-21 18:05:28.734133,2026-04-21 18:05:29.480906,0 days 00:00:00.746773,-35.698287257582116,78.53027458499743,87.41449226672451,75.06254539095146,-5.09403909251373,28.943125305574938,-21.891793619513322,80.21548341043844,90.39522553261465,59.837169857468716,-16.241551135441124,76.12828968859314,Unfeasible shape,RandomSampler,PRUNED
1,1,10.81741497548466,2026-04-21 18:05:29.616247,2026-04-21 18:05:47.501453,0 days 00:00:17.885206,-59.95924478786027,49.39699172742051,65.81605431060096,85.10466077344451,22.80188921064716,15.45464221129545,-54.40886602047434,52.52437965777946,86.01979671511536,14.982075079398683,34.3774663203037,45.97304558884541,Unattained target,RandomSampler,PRUNED
2,2,6.0,2026-04-21 18:05:47.676705,2026-04-21 18:05:47.760225,0 days 00:00:00.083520,-32.4103754321696,99.33976102372823,63.114268994946926,52.91426359088307,87.27570335294763,-8.957227474909335,-73.80902474971623,14.274477969083714,65.251598057821,69.27613589910982,7.586764074012947,94.71680638034255,Unfeasible shape,RandomSampler,PRUNED
3,3,6.0,2026-04-21 18:05:47.925738,2026-04-21 18:05:48.030945,0 days 00:00:00.105207,-47.53048483820211,11.050000887370931,11.382372310055196,99.81354969282269,90.41707951621613,32.30957867949604,-40.96920711926273,30.98976651684729,26.566792546545535,75.09597080813076,-4.786429170204219,58.654319357326514,Unfeasible shape,RandomSampler,PRUNED
4,4,6.0,2026-04-21 18:05:48.176572,2026-04-21 18:05:48.276973,0 days 00:00:00.100401,-60.60419471450169,66.63122459406313,40.168460527641095,32.93964982884023,101.60050579984636,27.423579154207154,-51.97638691907811,65.7926246299343,80.62168646551494,63.168978292106814,18.353635985182983,39.06106387654378,Unfeasible shape,RandomSampler,PRUNED
5,5,6.0,2026-04-21 18:05:48.420499,2026-04-21 18:05:48.486707,0 days 00:00:00.066208,-26.48400006965872,53.414619745243535,45.743939681266085,23.095696792749628,84.27646765855069,-6.224626936893749,-21.571828810759982,81.36913316754689,31.228927120749212,80.97615989757011,5.232409057010244,-5.302858086447836,Unfeasible shape,RandomSampler,PRUNED
6,6,6.0,2026-04-21 18:05:48.622762,2026-04-21 18:05:48.687263,0 days 00:00:00.064501,-76.64554027838571,23.156680017340996,62.2904413117184,36.75484244512957,22.587758280956535,79.46496130444166,-40.62779026608886,25.245757045906707,40.80482446928518,78.15369630455675,-11.349511796661485,-4.416333099200809,Unfeasible shape,RandomSampler,PRUNED
7,7,6.0,2026-04-21 18:05:48.825569,2026-04-21 18:05:48.888061,0 days 00:00:00.062492,-63.795261367026484,80.7235136420774,10.982595934933629,37.69978940421366,32.96521574724314,-4.689814416465726,-50.09380825461669,77.15265545403959,71.75052648486573,98.55334784990457,15.815650341147943,105.22795361909965,Unfeasible shape,RandomSampler,PRUNED
8,8,6.0,2026-04-21 18:05:49.026583,2026-04-21 18:05:49.159713,0 days 00:00:00.133130,-52.83467586773578,80.93095351295644,79.33126001615564,21.43413506032776,0.44305856691415,11.312032602847907,-31.281348177767875,74.34644729867173,99.42860820746472,37.83532034663152,-26.697904293238356,81.65292015264596,Unfeasible shape,RandomSampler,PRUNED
9,9,6.0,2026-04-21 18:05:49.292053,2026-04-21 18:05:49.373791,0 days 00:00:00.081738,-78.51451135465975,61.75671557249924,53.16183700646025,62.93415817725816,-8.967678181663825,68.53186225490089,-45.7838352663698,23.405963644262396,95.61354122719632,42.21447312036039,38.73294674192404,5.40595880358981,Unfeasible shape,RandomSampler,PRUNED
10,10,6.0,2026-04-21 18:05:49.514649,2026-04-21 18:05:49.625785,0 days 00:00:00.111136,-57.44907096169611,11.7071759808546,77.29770765406558,98.47134718026318,111.5418202058889,6.971651043011249,-46.93657315273383,19.5447096747097,21.707914447991804,57.958761024308245,-3.1465671372153423,61.75422813883708,Unfeasible shape,RandomSampler,PRUNED
11,11,6.0,2026-04-21 18:05:49.757278,2026-04-21 18:05:49.830086,0 days 00:00:00.072808,-55.49214443113274,43.21046733527187,20.679772378235775,26.276419238599487,85.15628188123098,35.61987748476602,-30.592989453044602,77.05791387184556,45.24299495630808,16.984874537202664,-1.334791594185905,31.672611845122738,Unfeasible shape,RandomSampler,PRUNED
12,12,6.0,2026-04-21 18:05:49.975733,2026-04-21 18:05:50.032728,0 days 00:00:00.056995,-49.97993704743516,85.37437791974136,19.210221083608445,54.86496945690454,23.214348377208594,17.060567794210776,-42.857209851916615,82.9300331781211,69.51248626027663,76.3340227222733,10.552146776538954,1.5055155798090372,Unfeasible shape,RandomSampler,PRUNED
13,13,8.972477190426062,2026-04-21 18:05:50.177295,2026-04-21 18:06:10.032091,0 days 00:00:19.854796,-60.72620152380803,26.59980128482397,74.07848370389898,40.65426813927159,36.695662369799244,4.772126143626139,-62.61254913144096,53.47512813612018,44.669582785057216,56.380137031077986,36.87723902929734,87.9447814693799,Unattained target,RandomSampler,PRUNED
14,14,6.0,2026-04-21 18:06:10.175870,2026-04-21 18:06:10.275651,0 days 00:00:00.099781,-41.06942048472979,16.40571635022852,33.275795260692405,36.09676631996922,-9.875782676009731,-10.355728349758778,-63.043231405744365,17.942644824965797,60.26093494507889,15.791383992673936,13.179018876501353,105.53108399954301,Unfeasible shape,RandomSampler,PRUNED
15,15,6.0,2026-04-21 18:06:10.411349,2026-04-21 18:06:10.471150,0 days 00:00:00.059801,-34.26000110589925,76.12583208115988,92.75205767306315,74.17579712827603,13.164060731176086,49.12820169278427,-45.52299477472741,77.18093664669048,54.35307087968655,15.396052334071705,2.1315121538440494,10.604278768559173,Unfeasible shape,RandomSampler,PRUNED
